,year,day,time,play
172,2020,06.02(화),18:30,키움15vs3한화
173,2020,06.03(수),18:30,키움6vs2한화
174,2020,06.04(목),18:30,키움7vs3한화
175,2020,06.05(금),18:30,NC13vs2한화
176,2020,06.06(토),14:00,NC14vs2한화
177,2020,06.07(일),17:00,NC8vs2한화
178,2020,06.09(화),18:30,한화3vs9롯데
179,2020,06.10(수),18:30,한화2vs12롯데
180,2020,06.11(목),18:30,한화0vs5롯데
181,2020,06.12(금),18:30,두산5vs2한화
182,2020,06.13(토),17:00,두산6vs7한화
183,2020,06.14(일),17:00,두산2vs3한화
184,2020,06.16(화),18:30,LG9vs5한화
185,2020,06.17(수),18:30,LG7vs1한화
186,2020,06.18(목),18:30,LG9vs7한화
187,2020,06.19(금),18:30,한화1vs3NC
188,2020,06.20(토),17:00,한화4vs3NC
189,2020,06.21(일),17:00,한화7vs9NC
190,2020,06.23(화),18:30,한화4vs11삼성
191,2020,06.24(수),18:30,한화2vs3삼성
192,2020,06.25(목),18:30,한화9vs2삼성
193,2020,06.26(금),18:30,KT4vs7한화
194,2020,06.27(토),17:00,KT7vs2한화
195,2020,06.28(일),17:00,KT8vs4한화
196,2020,07.01(수),18:30,한화3vs4KIA
197,2020,07.02(목),18:30,한화1vs7KIA
198,2020,07.03(금),18:30,한화1vs2두산
199,2020,07.04(토),18:00,한화6vs2두산
200,2020,07.05(일),17:00,한화4vs7두산
201,2020,07.07(화),18:30,롯데6vs7한화
202,2020,07.08(수),18:30,롯데6vs2한화
203,2020,07.09(목),18:30,롯데5vs3한화
204,2020,07.10(금),18:30,SK5vs6한화
205,2020,07.11(토),18:00,SK5vs3한화
206,2020,07.13(월),18:30,SK2vs4한화
207,2020,07.14(화),18:30,한화2vs7KT
208,2020,07.15(수),18:30,한화7vs3KT
209,2020,07.16(목),18:30,한화1vs4KT
210,2020,07.17(금),18:30,한화0vs8LG
211,2020,07.18(토),18:00,한화1vs3LG
212,2020,07.19(일),17:00,한화2vs6LG
213,2020,07.21(화),18:30,KIA10vs2한화
